epoch,train_loss,val_loss,lr,elapsed_s
1,-5.614454475045204,-10.127038344740868,0.0009990133642141358,104.0
2,-12.963451066970824,-12.542888574302197,0.000996057350657239,102.3
3,-14.839570991516114,-13.310252606868744,0.0009911436253643444,103.2
4,-15.25799519443512,-13.806059762835503,0.0009842915805643156,102.5
5,-15.980826889038086,-16.06758603453636,0.0009755282581475769,102.8
6,-16.86596844291687,-17.454262152314186,0.0009648882429441258,102.8
7,-17.051260063171387,-17.736614227294922,0.0009524135262330099,102.6
8,-16.625613077163695,-15.548730611801147,0.0009381533400219318,105.0
9,-18.07603817367554,-18.018899530172348,0.0009221639627510075,103.7
10,-17.69243176460266,-15.479905724525452,0.0009045084971874736,101.8
11,-17.59567693519592,-15.850096955895424,0.0008852566213878945,102.1
12,-18.295907424926757,-18.810261860489845,0.0008644843137107056,102.6
13,-18.641219772338868,-20.945181399583817,0.0008422735529643443,102.3
14,-19.21402303695679,-17.705835312604904,0.0008187119948743448,102.4
15,-19.111993118286133,-18.28767789900303,0.0007938926261462366,102.1
16,-19.484916110992433,-20.388352811336517,0.0007679133974894982,102.3
17,-18.495032913208007,-18.903508573770523,0.0007408768370508576,106.8
18,-19.330090131759643,-19.033394753932953,0.0007128896457825362,105.2
19,-20.288410732269288,-18.954715460538864,0.0006840622763423389,103.3
20,-19.770545833587647,-18.915273368358612,0.0006545084971874735,103.3
21,-20.073871879577638,-18.217890739440918,0.0006243449435824271,104.5
22,-20.812438751220704,-20.301215142011642,0.0005936906572928622,103.1
23,-21.263637351989747,-21.4586101770401,0.000562666616782152,102.7
24,-20.873046337127686,-19.033795922994614,0.0005313952597646566,103.7
25,-20.769678783416747,-21.177894443273544,0.0004999999999999998,102.8
26,-21.389034774780274,-22.317363768815994,0.00046860474023534314,102.8
27,-21.696847156524658,-20.77944126725197,0.00043733338321784774,104.5
28,-22.0466961517334,-20.020587474107742,0.00040630934270713756,102.3
29,-22.139903617858888,-20.968870162963867,0.00037565505641757246,102.5
30,-21.959196271896364,-21.683114796876907,0.00034549150281252633,103.7
31,-22.170341289520263,-22.03243264555931,0.00031593772365766105,104.0
32,-22.31808475112915,-22.088009744882584,0.00028711035421746355,103.0
33,-22.425877086639403,-21.522824943065643,0.0002591231629491422,102.6
34,-23.049850955963134,-21.94023287296295,0.00023208660251050145,103.0
35,-22.62703444290161,-23.926065802574158,0.00020610737385376337,102.7
36,-22.8512940826416,-21.72653892636299,0.00018128800512565502,103.3
37,-23.175847618103028,-21.837043523788452,0.00015772644703565555,103.7
38,-23.381753498077394,-21.50349074602127,0.00013551568628929425,102.5
39,-23.21146023750305,-22.442510277032852,0.00011474337861210535,101.8
40,-24.04803436279297,-23.8002747297287,9.549150281252626e-05,103.2
41,-24.819094455718993,-22.668161273002625,7.783603724899252e-05,102.8
42,-24.62219285583496,-23.256055265665054,6.184665997806817e-05,103.2
43,-24.940191650390624,-23.91175937652588,4.7586473766990294e-05,105.7
44,-25.193773799896242,-24.53991410136223,3.5111757055874305e-05,104.9
45,-25.589296962738036,-26.77884352207184,2.4471741852423218e-05,103.8
46,-26.181691230773925,-25.65096554160118,1.5708419435684507e-05,103.7
47,-26.270482730865478,-25.195973455905914,8.856374635655634e-06,103.6
48,-27.008695400238036,-23.771706849336624,3.942649342761115e-06,103.1
49,-27.383117614746094,-24.42458611726761,9.866357858642198e-07,103.3
50,-27.26430321121216,-26.50155246257782,0.0,103.4
